报告开始日期,报告结束日期,广告名称,广告投放,成效,成效指标,单次成效费用,广告组名称,展示次数,"已花费金额 (USD)",点击率（全部）,custom_derived_metrics:334261784830934,应用安装量,"单次应用安装费用 (USD)",订阅次数,"单次订阅费用 (USD)",购物次数,"单次购物费用 (USD)","广告花费回报 (ROAS) - 购物","基于展示次数的 3 秒视频播放率","视频播放进度达 100% 的次数",视频平均播放时长,结果（初始）,成效（初始）指标
2025-12-01,2026-08-31,20251104_growme_EN_9x16_FX-story_ZT-mom_RS-P1X1R3C3_wxx,inactive,,,,251103_US_1103周视频_joy,0,0,0,,,,,,,,,,,00:00:00,,
2025-12-01,2026-08-31,20251104_growme_EN_9x16_FX-story_ZT-sishu_RS-P1X1R3C3_wxx,inactive,,,,251103_US_1103周视频_joy,0,0,0,,,,,,,,,,,00:00:00,,
2025-12-01,2026-08-31,20251104_growme_EN_9x16_FX-story_ZT-50book_RS-P1X1R3C3_wxx,inactive,,,,251103_US_1103周视频_joy,0,0,0,,,,,,,,,,,00:00:00,,
2025-12-01,2026-08-31,20251104_growme_EN_9x16_FX-test_ZT-share_3k_RS-P1X1R3C1_gy,inactive,,,,251103_US_1103周视频_joy,0,0,0,,,,,,,,,,,00:00:00,,
2025-12-01,2026-08-31,20251104_growme_EN_9x16_FX-test_ZT-read_10k_RS-P1X1R3C1_gy,inactive,,,,251103_US_1103周视频_joy,0,0,0,,,,,,,,,,,00:00:00,,
2025-12-01,2026-08-31,"20251105_GrowMe_EN_9x16_FX-test_ZT- fa_5565_RS-P3X1R1C3_fj",inactive,,,,251103_US_1103周视频_joy,0,0,0,,,,,,,,,,,00:00:00,,
2025-12-01,2026-08-31,"20251105_GrowMe_EN_9x16_FX-test_ZT- pink_4443_RS-P3X1R1C3_fj",inactive,,,,251103_US_1103周视频_joy,0,0,0,,,,,,,,,,,00:00:00,,
2025-12-01,2026-08-31,20251105_growme_EN_9x16_FX-story_ZT-instead_RS-P1X1R3C3_wxx,inactive,,,,251103_US_1103周视频_joy,0,0,0,,,,,,,,,,,00:00:00,,
2025-12-01,2026-08-31,20251105_growme_EN_9x16_FX-test_ZT-book_RS-P1X1R3C1_gy,inactive,,,,251103_US_1103周视频_joy,0,0,0,,,,,,,,,,,00:00:00,,
2025-12-01,2026-08-31,20251105_growme_EN_9x16_FX-test_ZT-secret1_RS-P1X1R3C1_gy,inactive,,,,251103_US_1103周视频_joy,0,0,0,,,,,,,,,,,00:00:00,,
2025-12-01,2026-08-31,20251105_growme_EN_9x16_FX-pic_ZT-intp_RS-P1X1R3C3_wxx,inactive,,,,251103_US_251103周图片_joy,0,0,0,,,,,,,,,,,00:00:00,,
2025-12-01,2026-08-31,20251105_growme_EN_9x16_FX-pic_ZT-mom2_RS-P1X1R3C3_wxx,inactive,,,,251103_US_251103周图片_joy,0,0,0,,,,,,,,,,,00:00:00,,
2025-12-01,2026-08-31,20251105_growme_EN_9x16_FX-pic_ZT-inter_RS-P1X1R3C3_wxx,inactive,,,,251103_US_251103周图片_joy,0,0,0,,,,,,,,,,,00:00:00,,
2025-12-01,2026-08-31,20251105_growme_EN_9x16_FX-pic_ZT-co_RS-P1X1R3C3_wxx,inactive,,,,251103_US_251103周图片_joy,0,0,0,,,,,,,,,,,00:00:00,,
2025-12-01,2026-08-31,20251105_growme_EN_9x16_FX-pic_ZT-infj_RS-P1X1R3C3_wxx,inactive,,,,251103_US_251103周图片_joy,0,0,0,,,,,,,,,,,00:00:00,,
2025-12-01,2026-08-31,20251105_GrowMe_EN_4x5_FX-pic_ZT-test-3_RS-P3X1R1C3_gy,inactive,,,,251103_US_251103周图片_joy,0,0,0,,,,,,,,,,,00:00:00,,
2025-12-01,2026-08-31,20251105_growme_EN_9x16_FX-pic_ZT-bibLICAL_RS-P1X1R3C3_wxx,inactive,,,,251103_US_251103周图片_joy,0,0,0,,,,,,,,,,,00:00:00,,
