report_start,report_end,ad_name,广告投放,成效,成效指标,单次成效费用,account,impressions,CPM（千次展示费用） (USD),spend,installs,单次应用安装费用 (USD),subscriptions,单次订阅费用 (USD),purchases,单次购物费用 (USD),roas,ctr,custom_derived_metrics:334261784830934,基于展示次数的 3 秒视频播放率,帖子评论数,帖文互动,成效获得率,video_completions,结果（初始）,成效（初始）指标
2025-12-01,2026-08-26,20260731_growme_EN_9x16_FX-EnglishLearners_ZT-Learning-also_RS-P1X1R3C1_gy,not_delivering,,,,260731_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0731_joy,74,2.702703,0.2,,,,,,,,1.351351,0.0,36.486486,,29.0,,2.0,,
2025-12-01,2026-08-26,20260727_growme_EN_9x16_FX-Professionals_ZT-Growth_LVL1-Podcast_RS-P1X1R3C3_pingme_YZY,not_delivering,,,,260731_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0731_joy,60,2.0,0.12,,,,,,,,1.666667,0.0,5.0,,4.0,,1.0,,
2025-12-01,2026-08-26,20260727_growme_EN_9x16_FX-SelfGrowth_ZT-EmotionalHealth_LVL1-TEDtalk_RS-P1X1R3C3_pingme_SZH,not_delivering,,,,260731_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0731_joy,23,3.478261,0.08,,,,,,,,0.0,,17.391304,,4.0,,,,
2025-12-01,2026-08-26,20260731_growme_EN_9x16_FX-EnglishLearners_ZT-Learning-read1_RS-P1X1R3C1_gy,not_delivering,,,,260731_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0731_joy,203,3.64532,0.74,,,,,,,,0.985222,0.0,12.315271,,27.0,,,,
2025-12-01,2026-08-26,20260727_growme_EN_9x16_FX-SelfGrowth_ZT-EmotionalHealth_LVL1-TEDtalk_RS-P1X1R3C3_pingme_ZL,not_delivering,,,,260731_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0731_joy,114,2.192982,0.25,,,,,,,,0.0,,16.666667,,21.0,,1.0,,
2025-12-01,2026-08-26,20260727_growme_EN_9x16_FX-Readers_ZT-BookReading_LVL1-news_RS-P1X1R3C3_pingme_YZY,inactive,,,,260731_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0731_joy,12846,3.736572,48.0,8.0,6.0,,,,,,0.988635,0.07476636,15.164253,,2108.0,,57.0,,
2025-12-01,2026-08-26,20260730_GrowMe_EN_9x16_01_FX-SelfGrowth_ZT-Learning-2021_RS-P1X1R3C3_wxx,not_delivering,,,,260804_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0730_joy,428,5.303738,2.27,,,,,,,,0.934579,0.0,25.233645,,112.0,,21.0,,
2025-12-01,2026-08-26,20260730_growme_EN_9x16_FX-EnglishLearners_ZT-Learning-ai2_RS-P1X1R3C3_fj,not_delivering,,,,260804_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0730_joy,14,12.142857,0.17,,,,,,,,0.0,,35.714286,,5.0,,,,
2025-12-01,2026-08-26,20260730_growme_EN_9x16_FX-EnglishLearners_ZT-Learning-routine_RS-P1X1R3C3_fj,inactive,,,,260804_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0730_joy,4216,3.816414,16.09,2.0,8.045,,,,,,1.091082,0.05263158,13.757116,,642.0,,57.0,,
2025-12-01,2026-08-26,20260730_growme_EN_9x16_FX-EnglishLearners_ZT-Learning-brain_RS-P1X1R3C1_gy,inactive,,,,260804_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0730_joy,7414,3.525762,26.14,3.0,8.713333,,,,,,1.173456,0.03947368,18.815754,,1496.0,,68.0,,
