report_start,report_end,ad_name,广告投放,成效,成效指标,单次成效费用,account,impressions,CPM（千次展示费用） (USD),spend,installs,单次应用安装费用 (USD),subscriptions,单次订阅费用 (USD),purchases,单次购物费用 (USD),roas,ctr,custom_derived_metrics:334261784830934,hook_rate,帖子评论数,帖文互动,成效获得率,video_completions,结果（初始）,成效（初始）指标
2025-12-01,2026-07-27,20260722_GrowMe_EN_9x16_FX-FinanceSeekers_ZT-Learning_RS-P1X1R3C3_aitool_cty,inactive,,,,260723_ABO_AEO-Purchase_ios_vid_Growme_WW_文案2_joy,10134,1.211762,12.28,7.0,1.754286,,,,,,1.213736,0.13207547,12.985988,,1406.0,,41.0,,
2025-12-01,2026-07-27,20260721_GrowMe_EN_9x16_FX-Overthinkers_ZT-Focus_RS-P1X1R3C3_aitool_cty,active,,,,260723_ABO_AEO-Purchase_ios_vid_Growme_WW_文案2_joy,1044,0.938697,0.98,,,,,,,,1.05364,0.0,14.272031,,157.0,,1.0,,
2025-12-01,2026-07-27,20260724_GrowMe_EN_9x16_FX-EnglishLearners_ZT-Habits-1_RS-P1X1R3C3_aitool_cty,active,,,,260724_ABO_AEO-Purchase_ios_vid_Growme_WW_文案3_joy,75,1.2,0.09,,,,,,,,0.0,,20.0,,16.0,,,,
2025-12-01,2026-07-27,20260723_GrowMe_EN_9x16_FX-EnglishLearners_ZT-Communication_RS-P1X1R3C3_aitool_cty,inactive,,,,260724_ABO_AEO-Purchase_ios_vid_Growme_WW_文案3_joy,10678,1.999438,21.35,10.0,2.135,,,,,,0.627458,0.27027027,12.080914,,1396.0,,74.0,,
2025-12-01,2026-07-27,20260723_GrowMe_EN_9x16_FX-EnglishLearners_ZT-Growth_RS-P1X1R3C3_aitool_cty,inactive,,,,260724_ABO_AEO-Purchase_ios_vid_Growme_WW_文案3_joy,10267,2.385312,24.49,2.0,12.245,,,,,,0.925295,0.03076923,15.320931,,1699.0,,36.0,,
2025-12-01,2026-07-27,20260721_GrowMe_EN_9x16_FX-Readers_ZT-Habits_RS-P1X1R3C3_aitool_cty,active,,,,260723_AAA_AEO-Purchase_ios_vid_Growme_US_文案_joy,31,31.290323,0.97,,,,,,,,3.225806,0.0,32.258065,,11.0,,,,
2025-12-01,2026-07-27,20260721_GrowMe_EN_9x16_FX-Overthinkers_ZT-Mindset_RS-P1X1R3C3_aitool_cty,active,,,,260723_AAA_AEO-Purchase_ios_vid_Growme_US_文案_joy,66,16.515152,1.09,,,,,,,,0.0,,18.181818,,12.0,,1.0,,
2025-12-01,2026-07-27,20260721_GrowMe_EN_9x16_FX-EnglishLearners_ZT-Habits_RS-P1X1R3C3_aitool_cty,active,,,,260723_AAA_AEO-Purchase_ios_vid_Growme_US_文案_joy,21,9.52381,0.2,,,,,,,,0.0,,23.809524,,5.0,,,,
2025-12-01,2026-07-27,20260721_GrowMe_EN_9x16_FX-Students_ZT-BookReading_RS-P1X1R3C3_aitool_cty,active,,,,260723_AAA_AEO-Purchase_ios_vid_Growme_US_文案_joy,102,17.156863,1.75,,,,,,,,3.921569,0.0,23.529412,,28.0,,2.0,,
2025-12-01,2026-07-27,20260721_GrowMe_EN_9x16_FX-Women_ZT-WomenEmpowerment_RS-P1X1R3C3_aitool_cty,inactive,1.0,actions:app_custom_event.fb_mobile_purchase,71.76,260723_AAA_AEO-Purchase_ios_vid_Growme_US_文案_joy,5005,14.337662,71.76,7.0,10.251429,3.0,23.92,1.0,71.76,0.527035,0.559441,0.53846154,21.238761,,1101.0,0.01998002,22.0,,
2025-12-01,2026-07-27,20260721_GrowMe_EN_9x16_FX-Professionals_ZT-LifeLessons_RS-P1X1R3C3_aitool_cty,active,,,,260723_AAA_AEO-Purchase_ios_vid_Growme_US_文案_joy,1703,18.373459,31.29,3.0,10.43,1.0,31.29,,,,1.409278,0.16666667,18.90781,,357.0,,8.0,,
2025-12-01,2026-07-27,20260722_GrowMe_EN_9x16_FX-FinanceSeekers_ZT-Learning_RS-P1X1R3C3_aitool_cty,active,,,,260723_AAA_AEO-Purchase_ios_vid_Growme_US_文案_joy,19,11.578947,0.22,,,,,,,,0.0,,21.052632,,4.0,,,,
2025-12-01,2026-07-27,20260722_GrowMe_EN_9x16_FX-EnglishLearners_ZT-Focus_RS-P1X1R3C3_aitool_cty,active,,,,260723_AAA_AEO-Purchase_ios_vid_Growme_US_文案_joy,309,15.92233,4.92,1.0,4.92,,,,,,0.970874,0.5,17.799353,,59.0,,4.0,,
2025-12-01,2026-07-27,20260722_GrowMe_EN_9x16_FX-EnglishLearners_ZT-BookReading_RS-P1X1R3C3_aitool_cty,active,,,,260723_AAA_AEO-Purchase_ios_vid_Growme_US_文案_joy,191,17.120419,3.27,,,,,,,,0.52356,0.0,20.942408,,44.0,,1.0,,
2025-12-01,2026-07-27,20260722_GrowMe_EN_9x16_FX-Overthinkers_ZT-Mindset_RS-P1X1R3C3_aitool_cty,active,,,,260723_AAA_AEO-Purchase_ios_vid_Growme_US_文案_joy,19,25.263158,0.48,,,,,,,,0.0,,36.842105,,8.0,,,,
2025-12-01,2026-07-27,20260722_GrowMe_EN_9x16_FX-Women_ZT-EmotionalHealth_RS-P1X1R3C3_aitool_cty,active,,,,260723_AAA_AEO-Purchase_ios_vid_Growme_US_文案_joy,15,10.666667,0.16,,,,,,,,6.666667,,6.666667,,1.0,,,,
2025-12-01,2026-07-27,20260722_GrowMe_EN_9x16_FX-Students_ZT-Mindset_RS-P1X1R3C3_aitool_cty,active,,,,260723_AAA_AEO-Purchase_ios_vid_Growme_US_文案_joy,30,12.333333,0.37,,,,,,,,0.0,,23.333333,,10.0,,1.0,,
2025-12-01,2026-07-27,20260722_GrowMe_EN_9x16_FX-EnglishLearners_ZT-Learning-1_RS-P1X1R3C3_aitool_cty,active,,,,260723_AAA_AEO-Purchase_ios_vid_Growme_US_文案_joy,19,10.526316,0.2,,,,,,,,10.526316,0.0,21.052632,,5.0,,,,
2025-12-01,2026-07-27,20260722_GrowMe_EN_9x16_FX-Professionals_ZT-Habits_RS-P1X1R3C3_aitool_cty,active,,,,260723_AAA_AEO-Purchase_ios_vid_Growme_US_文案_joy,7,15.714286,0.11,,,,,,,,14.285714,0.0,28.571429,,3.0,,,,
2025-12-01,2026-07-27,20260722_GrowMe_EN_9x16_FX-EnglishLearners_ZT-Growth_RS-P1X1R3C3_aitool_cty,active,,,,260723_AAA_AEO-Purchase_ios_vid_Growme_US_文案_joy,6,16.666667,0.1,,,,,,,,0.0,,33.333333,,2.0,,,,
