report_start,report_end,ad_name,广告投放,成效,成效指标,单次成效费用,account,impressions,CPM（千次展示费用） (USD),spend,installs,单次应用安装费用 (USD),subscriptions,单次订阅费用 (USD),purchases,单次购物费用 (USD),roas,ctr,custom_derived_metrics:334261784830934,基于展示次数的 3 秒视频播放率,帖子评论数,帖文互动,成效获得率,video_completions,结果（初始）,成效（初始）指标
2025-12-01,2026-08-26,20260729_GrowMe_EN_9x16_FX-Students_ZT-Discipline_RS-P1X1R3C3_aitool_cty,inactive,,,,260731_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0729/0730_joy,6053,3.347101,20.26,4.0,5.065,2.0,10.13,,,,0.693871,0.12121212,15.959029,,1034.0,,47.0,,
2025-12-01,2026-08-26,20260729_GrowMe_EN_9x16_FX-Women_ZT-EmotionalHealth_RS-P1X1R3C3_aitool_cty,inactive,,,,260731_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0729/0730_joy,12096,2.864583,34.65,4.0,8.6625,,,,,,0.421627,0.11111111,14.484127,,1843.0,,81.0,,
2025-12-01,2026-08-26,20260729_GrowMe_EN_9x16_FX-Professionals_ZT-Growth_RS-P1X1R3C3_aitool_cty,not_delivering,,,,260731_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0729/0730_joy,126,3.412698,0.43,,,,,,,,0.0,,18.253968,,24.0,,1.0,,
2025-12-01,2026-08-26,20260729_GrowMe_EN_9x16_FX-SelfGrowth_ZT-SelfImprovement_RS-P1X1R3C3_aitool_cty,not_delivering,,,,260731_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0729/0730_joy,14,0.714286,0.01,,,,,,,,0.0,,14.285714,,2.0,,,,
2025-12-01,2026-08-26,20260729_GrowMe_EN_9x16_FX-SelfGrowth_ZT-Habits_RS-P1X1R3C3_aitool_cty,inactive,,,,260731_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0729/0730_joy,4081,3.817692,15.58,3.0,5.193333,,,,,,0.833129,0.1,15.241362,,669.0,,17.0,,
2025-12-01,2026-08-26,20260729_GrowMe_EN_9x16_FX-Students_ZT-Learning_RS-P1X1R3C3_aitool_cty,inactive,,,,260731_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0729/0730_joy,5547,2.29854,12.75,2.0,6.375,,,,,,0.396611,0.14285714,13.917433,,812.0,,28.0,,
2025-12-01,2026-08-26,20260729_GrowMe_EN_9x16_FX-EnglishLearners_ZT-Habits_RS-P1X1R3C3_aitool_cty,inactive,,,,260731_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0729/0730_joy,7990,2.409262,19.25,,,,,,,,0.550688,0.0,12.778473,,1082.0,,28.0,,
2025-12-01,2026-08-26,20260729_GrowMe_EN_9x16_FX-Overthinkers_ZT-Mindset_RS-P1X1R3C3_aitool_cty,inactive,,,,260731_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0729/0730_joy,9458,2.981603,28.2,1.0,28.2,,,,,,0.444069,0.03448276,13.195179,,1321.0,,45.0,,
2025-12-01,2026-08-26,20260729_GrowMe_EN_9x16_FX-Students_ZT-Focus_RS-P1X1R3C3_aitool_cty,not_delivering,,,,260731_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0729/0730_joy,99,1.313131,0.13,,,,,,,,1.010101,0.0,12.121212,,14.0,,,,
2025-12-01,2026-08-26,20260729_GrowMe_EN_9x16_FX-Readers_ZT-Discipline_RS-P1X1R3C3_aitool_cty,not_delivering,,,,260731_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0729/0730_joy,45,3.111111,0.14,,,,,,,,0.0,,22.222222,,10.0,,1.0,,
