报告开始日期,报告结束日期,广告名称,广告投放,成效,成效指标,单次成效费用,广告组名称,展示次数,"CPM（千次展示费用） (USD)","已花费金额 (USD)",应用安装量,"单次应用安装费用 (USD)",订阅次数,"单次订阅费用 (USD)",购物次数,"单次购物费用 (USD)","广告花费回报 (ROAS) - 购物",点击率（全部）,custom_derived_metrics:334261784830934,"单次展示的播放视频达 3 秒率","视频播放进度达 100% 的次数",结果（初始）,成效（初始）指标
2026-06-01,2026-06-29,20260624_GrowMe_EN_9x16_FX-Learning_ZT-important_RS-P3X1R1C3_gy,inactive,1,actions:app_custom_event.fb_mobile_purchase,67.63,260625_ABO_AEO-Purchase_ios_vid_Growme_WW_0624_joy,20372,3.319753,67.63,47,1.438936,2,33.815,1,67.63,0.212332,2.071471,0.11604938,17.897114,339,,
2026-06-01,2026-06-29,20260624_GrowMe_EN_9x16_FX-LifeLeesons_ZT-learn1_RS-P3X1R1C3_gy_jql,inactive,,,,260625_ABO_AEO-Purchase_ios_vid_Growme_WW_0624_joy,8981,3.226812,28.98,2,14.49,,,,,,1.681327,0.01941748,15.833426,65,,
2026-06-01,2026-06-29,20260624_GrowMe_EN_9x16_FX-Mindset_ZT-enough_RS-P3X1R1C3_gy,active,,,,260625_ABO_AEO-Purchase_ios_vid_Growme_WW_0624_joy,27704,2.110887,58.48,52,1.124615,,,,,,0.942102,0.36111111,16.968669,275,,
2026-06-01,2026-06-29,20260624_GrowMe_EN_9x16_FX-Lifelessons_ZT-failure_RS-P3X1R1C3_gy,inactive,,,,260625_ABO_AEO-Purchase_ios_vid_Growme_WW_0624_joy,6735,3.42539,23.07,6,3.845,,,,,,1.232368,0.13043478,17.14922,88,,
2026-06-01,2026-06-29,20260624_GrowMe_EN_9x16_FX-Learning_ZT-learn_RS-P3X1R1C3_gy_jql,inactive,,,,260625_ABO_AEO-Purchase_ios_vid_Growme_WW_0624_joy,14505,2.661151,38.6,10,3.86,,,,,,0.930714,0.16129032,21.323681,140,,
2026-06-01,2026-06-29,20260623_growme_EN_9x16_FX-LifeLessons_ZT-capable_RS-P1X1R3C3_wxx,active,,,,260624_ABO_AEO-Purchase_ios_vid_Growme_WW_0623_joy,201,3.333333,0.67,,,,,,,,2.487562,0,25.373134,5,,
2026-06-01,2026-06-29,20260623_growme_EN_9x16_FX-Mindset_ZT-comfortzone_RS-P1X1R3C3_wxx,active,,,,260624_ABO_AEO-Purchase_ios_vid_Growme_WW_0623_joy,331,3.413897,1.13,,,,,,,,1.208459,0,20.543807,3,,
2026-06-01,2026-06-29,20260623_GrowMe_EN_9x16_FX-Learning_ZT-english-2_RS-P3X1R1C3_fj,active,3,actions:app_custom_event.fb_mobile_purchase,35.21666667,260624_ABO_AEO-Purchase_ios_vid_Growme_WW_0623_joy,45237,2.335478,105.65,64,1.650781,3,35.216667,3,35.216667,0.749645,1.306453,0.13822894,13.601698,333,,
2026-06-01,2026-06-29,20260623_GrowMe_EN_9x16_FX-Learning_ZT-english_RS-P3X1R1C3_fj,active,6,actions:app_custom_event.fb_mobile_purchase,37.49,260624_ABO_AEO-Purchase_ios_vid_Growme_WW_0623_joy,85184,2.640637,224.94,71,3.168169,8,28.1175,6,37.49,0.56784,1.442759,0.09726027,15.99831,1147,,
2026-06-01,2026-06-29,"20260623_GrowMe_EN_9x16_FX-LifeLessons_ZT- change_RS-P3X1R1C3_fj",active,,,,260624_ABO_AEO-Purchase_ios_vid_Growme_WW_0623_joy,13,0.769231,0.01,,,,,,,,0,,7.692308,,,
