报告开始日期,报告结束日期,广告名称,广告投放,成效,成效指标,单次成效费用,广告组名称,展示次数,"已花费金额 (USD)",应用安装量,"单次应用安装费用 (USD)",订阅次数,"单次订阅费用 (USD)",购物次数,"单次购物费用 (USD)","广告花费回报 (ROAS) - 购物",点击率（全部）,custom_derived_metrics:334261784830934,结果（初始）,成效（初始）指标
2026-05-01,2026-06-15,20260609_GrowMe_EN_9x16_FX-Mindset_ZT-waste_RS-P3X1R1C3_gy_jql,active,2,actions:app_custom_event.fb_mobile_purchase,8.895,260610_AAA_AEO-Purchase_ios_vid_Growme_WW_0609_joy,6451,17.79,14,1.270714,2,8.895,2,8.895,2.101743,1.47264,0.24561404,,
2026-05-01,2026-06-15,20260609_growme_EN_9x16_FX-Form_ZT-alone_RS-P1X1R1C3_095KB_mia_HJ_RMG-5219C,active,,,,260610_AAA_AEO-Purchase_ios_vid_Growme_WW_0609_joy,84,0.54,,,,,,,,0,,,
2026-05-01,2026-06-15,"20260608_growme_EN_9x16_FX-UGCProof _ZT-stop_RS-P1X1R3C3_wxx",active,,,,260610_AAA_AEO-Purchase_ios_vid_Growme_WW_0609_joy,80,0.2,,,,,,,,0,,,
2026-05-01,2026-06-15,20260609_GrowMe_EN_9x16_FX-Learning_ZT-learn_RS-P3X1R1C3_gy,active,,,,260610_AAA_AEO-Purchase_ios_vid_Growme_WW_0609_joy,16542,38.89,11,3.535455,,,,,,1.777294,0.05851064,,
2026-05-01,2026-06-15,20260609_GrowMe_EN_9x16_FX-Learning_ZT-read_RS-P3X1R1C3_gy,active,,,,260610_AAA_AEO-Purchase_ios_vid_Growme_WW_0609_joy,54,0.25,,,,,,,,1.851852,0,,
2026-05-01,2026-06-15,20260609_GrowMe_EN_9x16_FX-Mindset_ZT-say_RS-P3X1R1C3_gy_jql,active,,,,260610_AAA_AEO-Purchase_ios_vid_Growme_WW_0609_joy,563,1.88,,,,,,,,1.420959,0,,
2026-05-01,2026-06-15,20260609_GrowMe_EN_9x16_FX-Mindset_ZT-yourself_RS-P3X1R1C3_gy_jql,active,,,,260610_AAA_AEO-Purchase_ios_vid_Growme_WW_0609_joy,268,0.74,,,,,,,,2.238806,0,,
2026-05-01,2026-06-15,20260609_GrowMe_EN_9x16_FX-Mindset_ZT-gonna_RS-P3X1R1C3_gy_jql,active,,,,260610_AAA_AEO-Purchase_ios_vid_Growme_WW_0609_joy,152,0.24,,,,,,,,1.973684,0,,
2026-05-01,2026-06-15,20260609_GrowMe_EN_9x16_FX-Mindset_ZT-dream_RS-P3X1R1C3_gy_jql,active,,,,260610_AAA_AEO-Purchase_ios_vid_Growme_WW_0609_joy,82,0.09,,,,,,,,0,,,
2026-05-01,2026-06-15,20260609_GrowMe_EN_9x16_FX-Habitst_ZT-confident_RS-P3X1R1C3_gy_jql,active,,,,260610_AAA_AEO-Purchase_ios_vid_Growme_WW_0609_joy,11,0.05,,,,,,,,9.090909,0,,
