报告开始日期,报告结束日期,广告名称,广告投放,成效,成效指标,单次成效费用,广告组名称,展示次数,"已花费金额 (USD)",点击率（全部）,custom_derived_metrics:334261784830934,应用安装量,"单次应用安装费用 (USD)",订阅次数,"单次订阅费用 (USD)",购物次数,"单次购物费用 (USD)","广告花费回报 (ROAS) - 购物","单次展示的播放视频达 3 秒率","视频播放进度达 100% 的次数",视频平均播放时长,结果（初始）,成效（初始）指标
2026-05-01,2026-06-08,20260602_GrowMe_0_EN_9x16_FX-Quotes_ZT-dream_RS-P3X1R1C3_gy,active,,,,260603_AAA_AEO-Purchase_ios_vid_Growme_WW_0602_joy,48,0.05,0,,,,,,,,,10.416667,,2,,
2026-05-01,2026-06-08,20260602_GrowMe_EN_9x16_FX-Growth_ZT-startover_RS-P3X1R1C3_fj,active,,,,260603_AAA_AEO-Purchase_ios_vid_Growme_WW_0602_joy,365,0.89,1.369863,0,,,,,,,,22.739726,2,6,,
2026-05-01,2026-06-08,20260602_GrowMe_EN_9x16_FX-EmotionalHealth_ZT-6anxiety_RS-P3X1R1C3_fj_jql,active,,,,260603_AAA_AEO-Purchase_ios_vid_Growme_WW_0602_joy,492,1.14,0.406504,0,,,,,,,,26.422764,5,5,,
2026-05-01,2026-06-08,20260602_GrowMe_EN_9x16_FX-EmotionalHealth_ZT-Relieveanxiety_RS-P3X1R1C3_fj_jql,active,,,,260603_AAA_AEO-Purchase_ios_vid_Growme_WW_0602_joy,40,0.04,2.5,0,,,,,,,,22.5,1,6,,
2026-05-01,2026-06-08,20260602_GrowMe_EN_9x16_FX-LifeLessons_ZT-Lifeadvice_RS-P3X1R1C3_fj_jql,active,,,,260603_AAA_AEO-Purchase_ios_vid_Growme_WW_0602_joy,13,0.02,0,,,,,,,,,23.076923,,4,,
2026-05-01,2026-06-08,"20260602_GrowMe_EN_9x16_FX-LifeLessons_ZT-4 words_RS-P3X1R1C3_fj_jql",active,,,,260603_AAA_AEO-Purchase_ios_vid_Growme_WW_0602_joy,262,0.58,0.763359,,,,,,,,,23.664122,2,5,,
2026-05-01,2026-06-08,20260529_growme_EN_9x16_FX-Creative_ZT-leadership_RS-P1X1R3C3_ZH_RMG-4748C,active,,,,260602_AAA_AEO-Purchase_ios_vid_Growme_WW_0601_joy,180,0.33,1.111111,0,,,,,,,,27.777778,5,9,,
2026-05-01,2026-06-08,20260601_GrowMe_EN_9x16_FX-Learning_ZT-trainbrain_RS-P3X1R1C3_fj,inactive,9,actions:app_custom_event.fb_mobile_purchase,57.66777778,260602_AAA_AEO-Purchase_ios_vid_Growme_WW_0601_joy,265572,519.01,1.617264,0.15818363,317,1.637256,21,24.714762,9,57.667778,0.279185,17.749989,2376,8,,
2026-05-01,2026-06-08,20260529_growme_EN_9x16_FX-Creative_ZT-leadership_RS-P1X1R3C3_ZH_RMG-4748I,active,,,,260602_AAA_AEO-Purchase_ios_vid_Growme_WW_0601_joy,265,0.56,0,,,,,,,,,23.773585,2,3,,
2026-05-01,2026-06-08,20260601_GrowMe_EN_9x16_FX-Learning_ZT-life_RS-P3X1R1C3_gy,inactive,7,actions:app_custom_event.fb_mobile_purchase,48.93142857,260602_AAA_AEO-Purchase_ios_vid_Growme_WW_0601_joy,185367,342.52,1.536951,0.28522727,251,1.364622,17,20.148235,7,48.931429,0.391247,16.165229,2934,7,,
